"Index" "AdjClose"
1999-01-04 82.28
1999-01-05 85.26
1999-01-06 84.86
1999-01-07 85.51
1999-01-08 84.33
1999-01-11 85.09
1999-01-12 83.21
1999-01-13 83.4
1999-01-14 81.21
1999-01-15 83.15
1999-01-19 86.44
1999-01-20 87.45
1999-01-21 88.57
1999-01-22 80.82
1999-01-25 81.83
1999-01-26 83.46
1999-01-27 80.17
1999-01-28 80.34
1999-01-29 82.39
1999-02-01 80.82
1999-02-02 79.47
1999-02-03 78.79
1999-02-04 76.24
1999-02-05 74.64
1999-02-08 75.18
1999-02-09 73.27
1999-02-10 76.03
1999-02-11 80.36
1999-02-12 77.77
1999-02-16 77.66
1999-02-17 76.76
1999-02-18 78.45
1999-02-19 77.27
1999-02-22 80.11
1999-02-23 79.66
1999-02-24 78.22
1999-02-25 78.17
1999-02-26 76.42
1999-03-01 75.81
1999-03-02 75.52
1999-03-03 75.07
1999-03-04 76.99
1999-03-05 80.31
1999-03-08 80.53
1999-03-09 82.02
1999-03-10 81.71
1999-03-11 82.33
1999-03-12 80.14
1999-03-15 81.94
1999-03-16 81.49
1999-03-17 80.16
1999-03-18 79.97
1999-03-19 75.89
1999-03-22 75.18
1999-03-23 74.46
1999-03-24 76.31
1999-03-25 77.13
1999-03-26 77.61
1999-03-29 80.08
1999-03-30 80.39
1999-03-31 79.8
1999-04-01 79.69
1999-04-05 82.81
1999-04-06 82.39
1999-04-07 83.96
1999-04-08 84.19
1999-04-09 83.88
1999-04-12 82.59
1999-04-13 81.04
1999-04-14 80.76
1999-04-15 80.02
1999-04-16 76.71
1999-04-19 75.07
1999-04-20 76.42
1999-04-21 77.38
1999-04-22 87.57
1999-04-23 89.93
1999-04-26 94.49
1999-04-27 95.44
1999-04-28 92.29
1999-04-29 92.21
1999-04-30 94.18
1999-05-03 95.56
1999-05-04 95.44
1999-05-05 95.5
1999-05-06 94.31
1999-05-07 97.92
1999-05-10 98.54
1999-05-11 99.61
1999-05-12 101.64
1999-05-13 110.88
1999-05-14 107.83
1999-05-17 107.05
1999-05-18 107.5
1999-05-19 106.32
1999-05-20 104.96
1999-05-21 103.84
1999-05-24 100.85
1999-05-25 99.69
1999-05-26 106.48
1999-05-27 104.57
1999-05-28 104.57
1999-06-01 100.96
1999-06-02 102.54
1999-06-03 101.81
1999-06-04 104.57
1999-06-07 108.62
1999-06-08 105.13
1999-06-09 105.47
1999-06-10 103.89
1999-06-11 103.04
1999-06-14 104.12
1999-06-15 104.45
1999-06-16 108.79
1999-06-17 108.34
1999-06-18 108.85
1999-06-21 112.45
1999-06-22 111.21
1999-06-23 110.82
1999-06-24 110.48
1999-06-25 110.98
1999-06-28 110.48
1999-06-29 112.34
1999-06-30 116.51
1999-07-01 118.09
1999-07-02 119.21
1999-07-06 118.09
1999-07-07 119.72
1999-07-08 120.79
1999-07-09 123.84
1999-07-12 124.23
1999-07-13 124.29
1999-07-14 123.72
1999-07-15 122.87
1999-07-16 122.82
1999-07-19 121.36
1999-07-20 115.61
1999-07-21 116.29
1999-07-22 111.66
1999-07-23 112.51
1999-07-26 110.88
1999-07-27 113.81
1999-07-28 115.73
1999-07-29 113.01
1999-07-30 113.3
1999-08-02 110.2
1999-08-03 107.6
1999-08-04 106.82
1999-08-05 111.05
1999-08-06 111.44
1999-08-09 110.25
1999-08-10 107.66
1999-08-11 111.26
1999-08-12 109.29
1999-08-13 111.32
1999-08-16 114.93
1999-08-17 115.95
1999-08-18 111.77
1999-08-19 110.93
1999-08-20 109.86
1999-08-23 112.28
1999-08-24 110.08
1999-08-25 110.42
1999-08-26 110.93
1999-08-27 111.89
1999-08-30 111.16
1999-08-31 112.39
1999-09-01 114.82
1999-09-02 113.57
1999-09-03 116.27
1999-09-07 119.11
1999-09-08 117.98
1999-09-09 121.59
1999-09-10 121.81
1999-09-13 119.45
1999-09-14 120.29
1999-09-15 119.05
1999-09-16 117.3
1999-09-17 113.12
1999-09-20 117.42
1999-09-21 114.7
1999-09-22 112.96
1999-09-23 110.08
1999-09-24 112.79
1999-09-27 110.98
1999-09-28 111.44
1999-09-29 108.33
1999-09-30 109.18
1999-10-01 106.25
1999-10-04 108.16
1999-10-05 110.08
1999-10-06 107.55
1999-10-07 105
1999-10-08 102.41
1999-10-11 103.09
1999-10-12 99.25
1999-10-13 94.8
1999-10-14 96.55
1999-10-15 97.33
1999-10-18 96.55
1999-10-19 96.66
1999-10-20 96.55
1999-10-21 82.11
1999-10-22 84.76
1999-10-25 84.7
1999-10-26 86.17
1999-10-27 83.92
1999-10-28 85.67
1999-10-29 88.65
1999-11-01 87.3
1999-11-02 85.55
1999-11-03 85.15
1999-11-04 82.62
1999-11-05 81.43
1999-11-08 84.88
1999-11-09 84.59
1999-11-10 87.64
1999-11-11 85.83
1999-11-12 86.62
1999-11-15 84.98
1999-11-16 85.49
1999-11-17 84.7
1999-11-18 88.54
1999-11-19 93.91
1999-11-22 97.46
1999-11-23 95.83
1999-11-24 94.42
1999-11-26 94.87
1999-11-29 94.14
1999-11-30 93.12
1999-12-01 93.44
1999-12-02 95.11
1999-12-03 101.08
1999-12-06 104.81
1999-12-07 105.37
1999-12-08 106.87
1999-12-09 102.43
1999-12-10 98.48
1999-12-13 99.12
1999-12-14 98.71
1999-12-15 96.68
1999-12-16 98.65
1999-12-17 99.39
1999-12-20 98.66
1999-12-21 99.5
1999-12-22 97.58
1999-12-23 98.14
1999-12-27 99.16
1999-12-28 99.22
1999-12-29 98.48
1999-12-30 98.26
1999-12-31 97.46
2000-01-03 104.81
2000-01-04 101.25
2000-01-05 104.81
2000-01-06 103
2000-01-07 102.55
2000-01-10 106.61
2000-01-11 107.52
2000-01-12 107.97
2000-01-13 106.84
2000-01-14 108.08
2000-01-18 104.58
2000-01-19 107.97
2000-01-20 107.52
2000-01-21 109.78
2000-01-24 109.78
2000-01-25 107.63
2000-01-26 105.49
2000-01-27 102.55
2000-01-28 100.8
2000-01-31 101.42
2000-02-01 99.39
2000-02-02 102.55
2000-02-03 105.82
2000-02-04 104.46
2000-02-07 103.11
2000-02-08 107.46
2000-02-09 106.16
2000-02-10 107.74
2000-02-11 104.35
2000-02-14 104.97
2000-02-15 105.93
2000-02-16 104.69
2000-02-17 105.6
2000-02-18 101.75
2000-02-22 100.4
2000-02-23 98.36
2000-02-24 99.94
2000-02-25 97.68
2000-02-28 94.52
2000-02-29 92.93
2000-03-01 90.67
2000-03-02 93.27
2000-03-03 97.68
2000-03-06 93.21
2000-03-07 93.16
2000-03-08 96.1
2000-03-09 97.68
2000-03-10 95.2
2000-03-13 97.4
2000-03-14 98.24
2000-03-15 96.78
2000-03-16 98.59
2000-03-17 99.49
2000-03-20 101.98
2000-03-21 102.66
2000-03-22 103.34
2000-03-23 104.24
2000-03-24 109.1
2000-03-27 114.75
2000-03-28 110.8
2000-03-29 107.63
2000-03-30 111.02
2000-03-31 107.06
2000-04-03 110.35
2000-04-04 109.61
2000-04-05 113.06
2000-04-06 111.02
2000-04-07 111.36
2000-04-10 110.45
2000-04-11 107.97
2000-04-12 102.88
2000-04-13 100.05
2000-04-14 94.97
2000-04-17 101.18
2000-04-18 100.85
2000-04-19 94.97
2000-04-20 94.06
2000-04-24 96.33
2000-04-25 101.75
2000-04-26 99.94
2000-04-27 100.05
2000-04-28 100.85
2000-05-01 101.3
2000-05-02 100.73
2000-05-03 97.79
2000-05-04 97.34
2000-05-05 97.56
2000-05-08 99.39
2000-05-09 98.71
2000-05-10 93.27
2000-05-11 94.58
2000-05-12 94.58
2000-05-15 94.35
2000-05-16 98.71
2000-05-17 97.68
2000-05-18 96.04
2000-05-19 96.39
2000-05-22 98.93
2000-05-23 97.23
2000-05-24 99.27
2000-05-25 96.44
2000-05-26 96.84
2000-05-30 100.46
2000-05-31 97.18
2000-06-01 95.99
2000-06-02 98.53
2000-06-05 102.16
2000-06-06 101.76
2000-06-07 109.57
2000-06-08 108.44
2000-06-09 108.39
2000-06-12 107.62
2000-06-13 108.04
2000-06-14 105.04
2000-06-15 105.78
2000-06-16 102.55
2000-06-19 109
2000-06-20 105.38
2000-06-21 103.69
2000-06-22 101.25
2000-06-23 101.3
2000-06-26 103.61
2000-06-27 99.39
2000-06-28 103.03
2000-06-29 103.23
2000-06-30 99.21
2000-07-03 99.16
2000-07-05 95.08
2000-07-06 91.69
2000-07-07 95.14
2000-07-10 93.55
2000-07-11 92.37
2000-07-12 94.74
2000-07-13 94.18
2000-07-14 94.12
2000-07-17 95.54
2000-07-18 93.55
2000-07-19 98.48
2000-07-20 106.18
2000-07-21 103.91
2000-07-24 101.88
2000-07-25 101.42
2000-07-26 99.49
2000-07-27 99.89
2000-07-28 101.25
2000-07-31 101.65
2000-08-01 100.06
2000-08-02 103.46
2000-08-03 105.04
2000-08-04 104.93
2000-08-07 105.33
2000-08-08 107.76
2000-08-09 107.66
2000-08-10 108.56
2000-08-11 109.35
2000-08-14 111.74
2000-08-15 110.6
2000-08-16 110.94
2000-08-17 111.06
2000-08-18 109.19
2000-08-21 110.09
2000-08-22 110.03
2000-08-23 111.74
2000-08-24 113.15
2000-08-25 116.95
2000-08-28 119.21
2000-08-29 120.47
2000-08-30 118.14
2000-08-31 119.69
2000-09-01 121.15
2000-09-05 118.93
2000-09-06 119.16
2000-09-07 120.92
2000-09-08 117.4
2000-09-11 112.87
2000-09-12 113.32
2000-09-13 115.76
2000-09-14 115.02
2000-09-15 113.32
